id,date,mag,depth,latitude,longitude,Daerah_Terdampak,Populasi_Daerah,Meninggal,Hilang,Luka / Sakit,menderita_mengungsi,Rumah Rusak Berat,Rumah Rusak Sedang,Rumah Rusak Ringan,Rumah Terendam,Satuan Pendidikan Rusak,Rumah Ibadat Rusak,Fasilitas Pelayanan Kesehatan Rusak,Kantor Rusak,Jembatan Rusak
us6000rdj3,2025-09-29,4.2,10.0,-2.9272,129.4293,SERAM BAGIAN TIMUR,113036.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000rdju,2025-09-29,4.2,163.55,-7.6794,128.3229,MALUKU BARAT DAYA,73476.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000rdl8,2025-09-05,4.3,43.633,1.4001,126.7621,HALMAHERA BARAT,117361.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000rdl8,2025-09-05,4.3,43.633,1.4001,126.7621,TERNATE,234885.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000rdlb,2025-09-05,4.3,23.377,2.1264,96.5556,ACEH SINGKIL,123842.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000rdlb,2025-09-05,4.3,23.377,2.1264,96.5556,SIMEULUE,95303.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000rdny,2025-09-30,4.6,35.0,-8.2455,107.3798,GARUT,2631146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000rdrr,2025-09-30,4.8,65.572,-2.6383,138.8898,JAYAPURA,302800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000rdrr,2025-09-30,4.8,65.572,-2.6383,138.8898,MAMBERAMO RAYA,24049.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000rdrr,2025-09-30,4.8,65.572,-2.6383,138.8898,SARMI,39753.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000rdrr,2025-09-30,4.8,65.572,-2.6383,138.8898,TOLIKARA,145626.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000rdrr,2025-09-30,4.8,65.572,-2.6383,138.8898,YALIMO,66067.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000rdta,2025-09-30,6.0,19.498,-7.2032,114.1844,BANGKALAN,995438.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000rdta,2025-09-30,6.0,19.498,-7.2032,114.1844,BONDOWOSO,779471.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000rdta,2025-09-30,6.0,19.498,-7.2032,114.1844,GRESIK,1328601.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000rdta,2025-09-30,6.0,19.498,-7.2032,114.1844,KEDIRI,289519.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000rdta,2025-09-30,6.0,19.498,-7.2032,114.1844,LAMONGAN,1202310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000rdta,2025-09-30,6.0,19.498,-7.2032,114.1844,MALANG,2622886.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000rdta,2025-09-30,6.0,19.498,-7.2032,114.1844,MOJOKERTO,1127882.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000rdta,2025-09-30,6.0,19.498,-7.2032,114.1844,PAMEKASAN,889610.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000rdta,2025-09-30,6.0,19.498,-7.2032,114.1844,PASURUAN,1639550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000rdta,2025-09-30,6.0,19.498,-7.2032,114.1844,SAMPANG,990691.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000rdta,2025-09-30,6.0,19.498,-7.2032,114.1844,SITUBONDO,686413.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
us6000rdta,2025-09-30,6.0,19.498,-7.2032,114.1844,SUMENEP,1093150.0,0.0,0.0,3.0,1306.0,119.0,188.0,198.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000rdta,2025-09-30,6.0,19.498,-7.2032,114.1844,SURABAYA,2908309.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000rdtx,2025-10-01,4.4,10.0,-7.2685,114.1349,BANGKALAN,995438.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000rdtx,2025-10-01,4.4,10.0,-7.2685,114.1349,BANYUWANGI,1618598.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000rdtx,2025-10-01,4.4,10.0,-7.2685,114.1349,BONDOWOSO,779471.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000rdtx,2025-10-01,4.4,10.0,-7.2685,114.1349,GRESIK,1328601.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000rdtx,2025-10-01,4.4,10.0,-7.2685,114.1349,KEDIRI,289519.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000rdtx,2025-10-01,4.4,10.0,-7.2685,114.1349,LAMONGAN,1202310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000rdtx,2025-10-01,4.4,10.0,-7.2685,114.1349,MADIUN,684279.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000rdtx,2025-10-01,4.4,10.0,-7.2685,114.1349,MALANG,2622886.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000rdtx,2025-10-01,4.4,10.0,-7.2685,114.1349,MOJOKERTO,1127882.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000rdtx,2025-10-01,4.4,10.0,-7.2685,114.1349,PAMEKASAN,889610.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000rdtx,2025-10-01,4.4,10.0,-7.2685,114.1349,PASURUAN,1639550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us6000rdtx,2025-10-01,4.4,10.0,-7.2685,114.1349,SAMPANG,990691.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
